City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
294,Ventspils,LV,57.3894,21.5606,40.93,93,100,23.02,overcast clouds
295,Avera,US,33.194,-82.5271,54.55,60,28,10.09,scattered clouds
296,Gaborone,BW,-24.6545,25.9086,60.71,67,0,6.91,clear sky
297,Kakonko,TZ,-3.2828,30.9642,64.69,91,76,1.77,broken clouds
298,Sola,VU,-13.8833,167.55,83.01,76,99,12.01,overcast clouds
299,New Glasgow,CA,45.5834,-62.6486,31.78,96,89,2.21,overcast clouds
300,Daru,PG,-9.0763,143.2092,85.05,65,97,9.24,overcast clouds
301,Port Blair,IN,11.6667,92.75,82.44,83,75,9.22,mist
302,Vaerlose,DK,55.7825,12.3686,37.65,78,96,23.09,overcast clouds
303,Savannah Bight,HN,16.45,-85.85,81.1,83,24,22.57,few clouds
304,Matara,LK,5.9485,80.5353,79.47,85,97,6.13,overcast clouds
305,Beringovskiy,RU,63.05,179.3167,7.25,82,2,4.16,clear sky
306,Skhisma,GR,35.2667,25.7167,61.84,64,0,11.27,clear sky
307,Hirata,JP,35.4333,132.8167,64.36,39,20,9.22,few clouds
308,Tomatlan,MX,19.9333,-105.25,66.87,94,100,1.41,overcast clouds
309,Bako,ET,5.7833,36.5667,74.26,42,93,2.42,overcast clouds
310,Fort Saint James,CA,54.4333,-124.25,39.76,95,100,4.41,light rain
311,Pechora,RU,65.1472,57.2244,12.02,80,71,6.38,broken clouds
312,Jambi,ID,-1.6,103.6167,84.87,64,100,2.46,overcast clouds
313,Ancud,CL,-41.8697,-73.8203,52.23,91,55,1.68,broken clouds
314,Kapustin Yar,RU,48.5831,45.7372,53.65,50,20,15.57,few clouds
315,Carrefour,HT,18.5411,-72.3992,78.98,73,38,11.5,scattered clouds
316,Taitung,TW,22.7583,121.1444,77.27,61,75,14.97,broken clouds
317,Anadyr,RU,64.75,177.4833,5.5,65,0,2.24,clear sky
318,Puerto Carreno,CO,6.189,-67.4859,80.42,74,20,4.59,few clouds
319,Guaiba,BR,-30.1139,-51.325,70.29,95,75,2.3,broken clouds
320,Qaqortoq,GL,60.7167,-46.0333,23.36,92,29,3.47,scattered clouds
321,Ugoofaaru,MV,5.6667,73.0,84.24,65,79,4.16,broken clouds
322,Hasaki,JP,35.7333,140.8333,70.29,45,0,11.83,clear sky
323,Bilaspur,IN,22.0833,82.15,105.51,7,0,5.06,clear sky
324,Mnogovershinnyy,RU,53.9353,139.9242,23.09,87,100,2.84,snow
325,Bull Savanna,JM,17.8868,-77.5902,72.64,86,37,7.34,scattered clouds
326,Banda Aceh,ID,5.5577,95.3222,85.03,63,100,1.28,overcast clouds
327,Pemangkat,ID,1.1667,108.9667,83.97,66,89,10.42,overcast clouds
328,Coquimbo,CL,-29.9533,-71.3436,55.13,100,100,2.3,overcast clouds
329,Takoradi,GH,4.8845,-1.7554,79.7,86,75,6.76,broken clouds
330,Faya,SA,18.3851,42.4509,66.31,6,0,7.43,clear sky
331,Whitehorse,CA,60.7161,-135.0538,34.57,60,75,9.22,broken clouds
332,Monrovia,LR,6.3005,-10.7969,74.97,88,88,5.95,overcast clouds
333,Lagoa,PT,39.05,-27.9833,59.59,86,61,17.34,broken clouds
334,Alghero,IT,40.5589,8.3181,57.29,94,40,11.5,scattered clouds
335,Richards Bay,ZA,-28.783,32.0377,64.17,84,95,10.69,light rain
336,Nouadhibou,MR,20.931,-17.0347,63.36,68,0,19.55,clear sky
337,Shetpe,KZ,44.1667,52.1167,56.64,57,100,14.65,overcast clouds
338,Zirandaro,MX,18.45,-100.9833,80.87,39,62,4.09,broken clouds
339,Amahai,ID,-3.3333,128.9167,84.49,67,91,5.37,overcast clouds
340,Nikolskoye,RU,59.7035,30.7861,43.88,97,100,12.88,overcast clouds
341,Maneadero,MX,31.7167,-116.5667,70.11,34,0,4.0,clear sky
342,Ligayan,PH,4.6533,119.4706,80.13,79,100,8.63,overcast clouds
343,Nuuk,GL,64.1835,-51.7216,23.61,93,100,9.22,overcast clouds
344,Paso De Patria,AR,-27.2454,-58.5454,68.05,98,34,4.81,scattered clouds
345,Ubinskoye,RU,55.3068,79.6802,39.96,77,100,11.97,overcast clouds
